@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,863,95,92,3,0,96.842105,3.157895,0,0.931802,0.028413,0.111518,6.26891,23.421486,88.511196,5.32263,83.188566,0.931697,0.056028,0.875669,82.944707,0.873102,8907.324187,0.951613,59,0,0,1,33,0.048387,3,1,0.951613,0.975207,0.933976,1,1,0.968421,0.016808,0.983192,0.031579,0.971053,0.968421,0.968716,0.933976,1,1,0.965864,0.968421,4.677,0.001,4.68,0,4680,0,35365,96810,13098,100,53.684211,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,95,1,0,98.958333,1.041667,0,0.977077,0.013974,0.090363,3.070437,18.891471,90.042506,3.460189,86.582317,0.937943,0.036044,0.901899,87.364592,0.910048,9388.949813,1,62,0.029412,1,0.970588,33,0,0,0.984127,1,0.992,0.977334,1,1,0.989583,0.018995,0.981005,0.010417,0.989749,0.989583,0.989547,0.977334,1,1,0.988537,0.989583,4.663,0,4.66,0,4660,0,35365,96701,13207,100,51.5625,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,93,3,0,96.875,3.125,0,0.932139,0.029337,0.146141,6.446282,30.552402,90.042506,10.284756,79.75775,0.937943,0.107133,0.83081,84.029281,0.875305,9030.508577,0.967742,60,0.029412,1,0.970588,33,0.032258,2,0.983607,0.967742,0.97561,0.932378,0.996679,0.998116,0.96875,0.03042,0.96958,0.03125,0.969174,0.96875,0.968849,0.932378,0.996679,0.997005,0.966066,0.96875,4.637,0.001,4.63,0,4630,0,35365,96701,13207,98.958333,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,93,3,0,96.875,3.125,0,0.932203,0.040372,0.161058,8.926821,33.908969,89.126448,11.391936,77.734512,0.928401,0.118666,0.809735,81.251997,0.846375,8722.117243,0.952381,60,0,0,1,33,0.047619,3,1,0.952381,0.97561,0.934353,0.999038,0.9995,0.96875,0.016369,0.983631,0.03125,0.971354,0.96875,0.969048,0.934353,0.999038,0.999077,0.966066,0.96875,4.668,0.001,4.67,0,4670,0,35365,96701,13207,98.958333,54.166667,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,93,3,0,96.875,3.125,0,0.929204,0.031207,0.164374,6.900295,34.607161,89.126448,14.166378,74.96007,0.928401,0.147566,0.780834,82.724426,0.861713,8880.177335,1,63,0.090909,3,0.909091,30,0,0,0.954545,1,0.976744,0.931541,0.997114,0.99845,0.96875,0.059659,0.940341,0.03125,0.97017,0.96875,0.968369,0.931541,0.997114,0.99738,0.964563,0.96875,4.626,0.001,4.62,0,4620,0,35365,96701,13207,98.958333,51.041667,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,92,4,0,95.833333,4.166667,0,0.904903,0.043402,0.179808,9.596769,37.856587,89.126448,21.242315,67.884134,0.928401,0.221274,0.707126,80.388562,0.837381,8629.430516,1,63,0.121212,4,0.878788,29,0,0,0.940299,1,0.969231,0.909023,0.987975,0.993248,0.958333,0.079545,0.920455,0.041667,0.960821,0.958333,0.95763,0.909023,0.987975,0.989801,0.952357,0.958333,4.665,0.001,4.67,0,4670,0,35365,96701,13207,97.916667,53.125,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,92,4,0,95.833333,4.166667,0,0.907648,0.037403,0.17149,8.27028,36.105334,89.126448,15.111088,74.01536,0.928401,0.157407,0.770993,81.498491,0.848943,8748.577494,0.968254,61,0.060606,2,0.939394,31,0.031746,2,0.968254,0.968254,0.968254,0.907648,0.99519,0.997414,0.958333,0.050685,0.949315,0.041667,0.958333,0.958333,0.958333,0.907648,0.99519,0.995657,0.953824,0.958333,4.659,0.001,4.65,0,4650,0,35365,96701,13207,98.958333,52.604167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,90,6,0,93.75,6.25,0,0.861472,0.062177,0.200695,13.748225,42.254169,89.126448,16.013838,73.11261,0.928401,0.166811,0.76159,76.711328,0.799076,8234.692351,0.952381,60,0.090909,3,0.909091,30,0.047619,3,0.952381,0.952381,0.952381,0.861472,0.991823,0.995702,0.9375,0.076028,0.923972,0.0625,0.9375,0.9375,0.9375,0.861472,0.991823,0.992568,0.930736,0.9375,4.683,0.001,4.68,0,4680,0,35365,96701,13207,100,56.770833,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,862,96,93,3,0,96.875,3.125,0,0.931232,0.033307,0.132385,7.364573,27.872095,89.126448,7.508156,81.618292,0.928401,0.07821,0.850191,82.606419,0.860484,8867.509696,0.968254,61,0.030303,1,0.969697,32,0.031746,2,0.983871,0.968254,0.976,0.931477,0.998557,0.999244,0.96875,0.030799,0.969201,0.03125,0.969195,0.96875,0.968858,0.931477,0.998557,0.998636,0.965612,0.96875,4.643,0.001,4.65,0,4650,0,35365,96701,13207,100,55.729167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,863,95,94,1,0,98.947368,1.052632,0,0.976947,0.017834,0.0817,3.934879,17.159002,88.511196,3.137603,85.373593,0.931697,0.033027,0.898669,85.100798,0.895798,9138.864018,0.983871,61,0,0,1,33,0.016129,1,1,0.983871,0.99187,0.977207,1,1,0.989474,0.005603,0.994397,0.010526,0.989783,0.989474,0.989509,0.977207,1,1,0.988472,0.989474,4.691,0.001,4.69,0,4690,0,35365,96810,13098,100,51.578947,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,2,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1236,863,95,92,3,0,96.842105,3.157895,0,0.931802,0.034608,0.14925,7.63579,31.346185,88.511196,9.079942,79.431254,0.931697,0.095578,0.836118,81.644975,0.859421,8767.74774,0.951613,59,0,0,1,33,0.048387,3,1,0.951613,0.975207,0.933976,0.999022,0.999484,0.968421,0.016808,0.983192,0.031579,0.971053,0.968421,0.968716,0.933976,0.999022,0.999062,0.965864,0.968421,4.661,0.001,4.66,0,4660,0,35365,96810,13098,100,52.631579,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,92,4,0,95.833333,4.166667,0,0.907648,0.038048,0.169539,8.412957,35.694515,89.126448,13.360376,75.766072,0.928401,0.139171,0.78923,81.26502,0.846511,8723.515283,0.968254,61,0.060606,2,0.939394,31,0.031746,2,0.968254,0.968254,0.968254,0.907648,0.997114,0.998512,0.958333,0.050685,0.949315,0.041667,0.958333,0.958333,0.958333,0.907648,0.997114,0.997262,0.953824,0.958333,4.621,0.001,4.62,0,4620,0,35365,96701,13207,97.916667,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,95,1,0,98.958333,1.041667,0,0.976744,0.014417,0.084785,3.187813,17.850562,89.126448,3.058559,86.067889,0.928401,0.03186,0.896541,86.376172,0.899752,9272.179517,1,63,0.030303,1,0.969697,32,0,0,0.984375,1,0.992126,0.977008,0.999519,0.999752,0.989583,0.019886,0.980114,0.010417,0.989746,0.989583,0.989544,0.977008,0.999519,0.999531,0.988371,0.989583,4.673,0.001,4.67,0,4670,0,35365,96701,13207,100,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,93,3,0,96.875,3.125,0,0.932203,0.037355,0.162817,8.259691,34.279269,89.126448,11.44197,77.684478,0.928401,0.119187,0.809213,81.748956,0.851552,8775.464056,0.952381,60,0,0,1,33,0.047619,3,1,0.952381,0.97561,0.934353,0.998076,0.999052,0.96875,0.016369,0.983631,0.03125,0.971354,0.96875,0.969048,0.934353,0.998076,0.998095,0.966066,0.96875,4.648,0.001,4.65,0,4650,0,35365,96701,13207,100,54.166667,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,93,3,0,96.875,3.125,0,0.930233,0.032573,0.155752,7.202283,32.791877,89.126448,11.057444,78.069005,0.928401,0.115182,0.813219,82.526962,0.859656,8858.980268,0.984127,62,0.060606,2,0.939394,31,0.015873,1,0.96875,0.984127,0.976378,0.930484,0.996633,0.998235,0.96875,0.045229,0.954771,0.03125,0.96875,0.96875,0.968633,0.930484,0.996633,0.996858,0.965112,0.96875,4.667,0.001,4.66,0,4660,0,35365,96701,13207,98.958333,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,95,1,0,98.958333,1.041667,0,0.976744,0.021468,0.110841,4.746967,23.336377,89.126448,8.558951,80.567497,0.928401,0.089156,0.839245,85.278797,0.888321,9154.380157,1,63,0.030303,1,0.969697,32,0,0,0.984375,1,0.992126,0.977008,0.996633,0.998177,0.989583,0.019886,0.980114,0.010417,0.989746,0.989583,0.989544,0.977008,0.996633,0.99698,0.988371,0.989583,4.64,0.001,4.64,0,4640,0,35365,96701,13207,98.958333,53.125,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,92,4,0,95.833333,4.166667,0,0.908962,0.053335,0.199844,11.793033,42.074926,89.126448,20.046564,69.079884,0.928401,0.208818,0.719582,78.674937,0.819531,8445.478878,0.952381,60,0.030303,1,0.969697,32,0.047619,3,0.983607,0.952381,0.967742,0.909905,0.993747,0.996706,0.958333,0.036255,0.963745,0.041667,0.959778,0.958333,0.95861,0.909905,0.993747,0.994252,0.954459,0.958333,4.635,0.001,4.64,0,4640,0,35365,96701,13207,97.916667,55.208333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,92,4,0,95.833333,4.166667,0,0.907692,0.038394,0.173885,8.436419,36.352723,90.042506,17.666604,72.375902,0.937943,0.184027,0.753916,82.176381,0.856004,8831.380048,0.983871,61,0.088235,3,0.911765,31,0.016129,1,0.953125,0.983871,0.968254,0.908661,0.992884,0.995936,0.958333,0.062698,0.937302,0.041667,0.958659,0.958333,0.958033,0.908661,0.992884,0.993645,0.953824,0.958333,4.623,0.001,4.62,0,4620,0,35365,96701,13207,97.916667,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,862,96,94,2,0,97.916667,2.083333,0,0.954459,0.029145,0.139281,6.404051,29.11831,90.042506,9.635531,80.406975,0.937943,0.10037,0.837573,84.49877,0.880196,9080.963859,0.983871,61,0.029412,1,0.970588,33,0.016129,1,0.983871,0.983871,0.983871,0.954459,0.996205,0.997828,0.979167,0.024707,0.975293,0.020833,0.979167,0.979167,0.979167,0.954459,0.996205,0.996613,0.97723,0.979167,4.636,0.001,4.63,0,4630,0,35365,96701,13207,98.958333,52.604167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,3,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160421.1237,863,95,91,4,0,95.789474,4.210526,0,0.905801,0.043032,0.186131,9.494322,39.092203,88.511196,22.249227,66.261969,0.931697,0.234202,0.697494,79.940854,0.841483,8584.74436,0.983871,61,0.090909,3,0.909091,30,0.016129,1,0.953125,0.983871,0.968254,0.906807,0.985337,0.991366,0.957895,0.064933,0.935067,0.042105,0.958202,0.957895,0.957571,0.906807,0.985337,0.987528,0.952877,0.957895,4.671,0.001,4.66,0,4660,0,35365,96810,13098,96.842105,52.105263,?
